AppID,Category_1,Category_2
1898130,Single-player,Steam Achievements
523210,Single-player,Steam Achievements
1278170,Single-player,Multi-player
950400,Single-player,
766570,Single-player,Multi-player
1694450,Single-player,Steam Achievements
1343220,Single-player,Steam Achievements
1672700,Single-player,Steam Achievements
1860120,Single-player,Full controller support
1338020,Single-player,Steam Achievements
1213420,Single-player,
1385820,Single-player,Multi-player
848460,Multi-player,PvP
735650,Single-player,
1048100,Multi-player,MMO
345700,Single-player,Steam Achievements
1873830,Single-player,Steam Achievements
65600,Single-player,
674250,Multi-player,PvP
439250,Single-player,Steam Achievements
1788650,Single-player,
1239710,Single-player,
1275060,Single-player,Multi-player
940350,Single-player,
868060,Single-player,Steam Achievements
1284550,Single-player,Multi-player
924670,Single-player,Full controller support
598590,Single-player,Partial Controller Support
620050,Others,
211208,Single-player,
454330,Single-player,Steam Achievements
1723050,Single-player,Full controller support
763230,Single-player,Multi-player
959710,Single-player,
1140060,Single-player,Steam Achievements
1644920,Single-player,Steam Achievements
957070,Single-player,Multi-player
1270780,Single-player,
1702210,Steam Achievements,Steam Workshop
1302270,Single-player,
974930,Single-player,
1017480,Multi-player,PvP
676030,Single-player,Steam Achievements
1728410,Single-player,
1165280,Single-player,Steam Achievements
1095120,Single-player,Steam Achievements
818390,Single-player,Steam Achievements
1245470,Single-player,Multi-player
839770,Single-player,Steam Achievements
1874660,Single-player,Steam Achievements
562640,Single-player,Steam Trading Cards
360840,Single-player,Steam Achievements
1007890,Single-player,
1030840,Single-player,Steam Achievements
1234450,Single-player,
890130,Single-player,Multi-player
1908060,Others,
1093880,Steam Workshop,Steam Cloud
1896980,Single-player,
368730,Single-player,Multi-player
1041300,Single-player,
572620,Single-player,Multi-player
1581500,Multi-player,PvP
318260,Single-player,Steam Achievements
821880,Single-player,Steam Achievements
886360,Single-player,
1408480,Single-player,Partial Controller Support
696760,Single-player,Steam Achievements
780210,Single-player,Steam Achievements
1713640,Single-player,
451600,Single-player,Multi-player
1109350,Single-player,
781240,Single-player,Multi-player
929570,Single-player,
841830,Single-player,Full controller support
1165460,Single-player,
485980,Single-player,Steam Achievements
679400,Single-player,Multi-player
1514480,Single-player,Steam Achievements
1368750,Single-player,
1121310,Single-player,In-App Purchases
1453640,Single-player,
1389360,Single-player,Steam Achievements
429480,Single-player,Steam Achievements
1368400,Single-player,
1005050,Single-player,Steam Achievements
529040,Single-player,
694070,Single-player,Multi-player
1311210,Single-player,Steam Achievements
1453660,Single-player,Steam Achievements
587580,Single-player,
294440,Single-player,Steam Achievements
1309290,Single-player,
364980,Single-player,
269250,Single-player,Steam Trading Cards
1228870,Single-player,Multi-player
633660,Single-player,Multi-player
1274280,Single-player,Steam Achievements
1791610,Single-player,Steam Achievements
1127500,Single-player,Steam Achievements
508650,Single-player,Multi-player
358700,Single-player,
656740,Single-player,Steam Achievements
1047950,Single-player,Full controller support
1076100,Single-player,Partial Controller Support
648150,Single-player,Steam Cloud
630900,Steam Workshop,
883160,Single-player,
783840,Single-player,Steam Achievements
1487140,Single-player,
1696810,Single-player,Multi-player
1178000,Single-player,Steam Achievements
1138580,Single-player,Partial Controller Support
416090,Single-player,Full controller support
595360,Single-player,Partial Controller Support
1581240,Single-player,
1751990,Single-player,Multi-player
1445500,Single-player,
1315240,Multi-player,PvP
404530,Single-player,Multi-player
1137650,Single-player,Partial Controller Support
461550,Others,
1408380,Single-player,Steam Achievements
1049690,Single-player,Steam Achievements
612840,Single-player,Steam Achievements
1463120,Single-player,Steam Achievements
243890,Others,
428410,Single-player,Steam Achievements
988110,Single-player,
1921760,Single-player,Steam Achievements
791370,Single-player,Steam Achievements
622460,Single-player,Steam Achievements
