AppID,Genre_1,Genre_2,Genre_3
439250,Adventure,Indie,
1788650,Action,Adventure,Casual
1239710,Simulation,Early Access,
1275060,Casual,Indie,Strategy
940350,Adventure,Casual,Indie
868060,Action,Adventure,Indie
1284550,Action,Casual,Indie
924670,Adventure,Casual,Indie
598590,Action,Adventure,Indie
620050,Utilities,,
211208,Others,,
454330,Adventure,Indie,
1723050,Action,Simulation,
763230,Casual,Free to Play,Indie
959710,Indie,,
1140060,Action,Adventure,Indie
1644920,Adventure,Casual,Indie
957070,Casual,Indie,Simulation
1270780,Action,Casual,Indie
1702210,Utilities,Web Publishing,Early Access
1302270,Simulation,,
974930,RPG,,
1017480,Casual,Free to Play,Indie
676030,Action,Adventure,Indie
1728410,Action,Indie,RPG
1165280,Casual,Indie,
1095120,Adventure,Indie,
818390,Adventure,Indie,
1245470,Action,Casual,Indie
839770,RPG,Strategy,
1874660,Casual,Indie,Simulation
562640,Adventure,Casual,Indie
360840,Adventure,Indie,
1007890,Action,Indie,
1030840,Action,Adventure,
1234450,Action,Adventure,Casual
890130,Indie,Strategy,
1908060,Others,,
1093880,Animation & Modeling,Design & Illustration,Utilities
1896980,Casual,,
368730,Action,Adventure,Casual
1041300,Adventure,,
572620,Casual,Indie,Simulation
1581500,Action,Casual,Indie
318260,Casual,Indie,Simulation
821880,Indie,Simulation,Strategy
886360,Casual,,
1408480,Action,Adventure,Indie
696760,Simulation,,
780210,Indie,Simulation,
1713640,Action,Casual,Free to Play
451600,Action,Adventure,Indie
1109350,Casual,Indie,RPG
781240,Action,,
929570,Adventure,Casual,Indie
841830,Adventure,Casual,Indie
1165460,Adventure,Casual,Indie
485980,Indie,Strategy,
679400,Free to Play,Indie,Strategy
1514480,Adventure,Indie,
1368750,Casual,,
1121310,Casual,Free to Play,Indie
1453640,RPG,Simulation,Strategy
1389360,Indie,RPG,Strategy
429480,Indie,Early Access,
1368400,Action,Indie,
1005050,Adventure,Casual,Strategy
529040,Casual,Indie,Simulation
694070,Action,Adventure,Indie
1311210,Action,Casual,Free to Play
1453660,Action,Adventure,Indie
587580,Indie,Simulation,
294440,Adventure,Indie,
1309290,Action,Adventure,Indie
364980,Casual,Simulation,Strategy
269250,Indie,,
1228870,Action,,
633660,Strategy,,
1274280,Action,Adventure,Indie
1791610,Action,Adventure,Casual
1127500,Casual,Indie,Simulation
508650,Action,Adventure,Indie
358700,Simulation,,
656740,Action,Indie,RPG
1047950,Action,Adventure,Indie
1076100,Adventure,Casual,RPG
648150,Action,Indie,
630900,RPG,Design & Illustration,Utilities
883160,Casual,Indie,
783840,Adventure,Indie,RPG
1487140,Indie,RPG,
1696810,Indie,Simulation,Early Access
1178000,Adventure,Casual,Indie
1138580,Indie,Simulation,Strategy
416090,Action,Indie,Simulation
595360,Action,Indie,Simulation
1581240,Adventure,Indie,RPG
1751990,Action,Adventure,Indie
1445500,Adventure,Indie,
1315240,Free to Play,Indie,
404530,Action,Indie,Simulation
1137650,Action,Adventure,
461550,Education,,
1408380,Indie,Simulation,
1049690,Action,Adventure,Indie
612840,Casual,Indie,Simulation
1463120,Adventure,Casual,Free to Play
243890,Education,Software Training,
428410,Action,Adventure,Indie
988110,Indie,,
1921760,Adventure,Casual,Indie
791370,Adventure,RPG,
622460,Action,Indie,Strategy
883130,Indie,Simulation,Sports
913570,Adventure,Indie,RPG
1930230,Adventure,Casual,Indie
351490,Casual,Indie,
378360,Indie,Simulation,Strategy
1273450,Indie,Simulation,Strategy
1059660,Casual,Indie,Simulation
820830,Action,Casual,Indie
668290,Action,Indie,Strategy
646100,Action,Adventure,Indie
1382310,Indie,,
1944970,Action,Adventure,Casual
1534240,Casual,Indie,Simulation
1339310,Casual,Indie,
575800,Casual,Indie,Strategy
1968280,Casual,Animation & Modeling,Utilities
634120,Adventure,Indie,
1843230,Strategy,,
1434550,Adventure,Indie,
316260,Action,Adventure,
604040,Indie,Strategy,
1050170,Casual,Indie,Strategy
1546120,Action,Indie,
762850,Casual,,
1221560,Action,Casual,Free to Play
1939600,Action,Adventure,Indie
1652800,Casual,Indie,
437530,Action,Adventure,Indie
1583650,Adventure,Casual,Simulation
526130,Action,Indie,Sports
1651880,Adventure,Indie,
311120,Action,,
410670,Action,Adventure,Indie
1131410,Casual,Indie,Simulation
1417890,Adventure,Casual,Indie
2006770,Indie,Simulation,Strategy
1583840,Adventure,Indie,RPG
516940,Action,Casual,Indie
1304320,Action,Adventure,Casual
1471960,Casual,Indie,Strategy
1350540,Action,Simulation,
1512910,Action,Casual,
511110,Action,Indie,Sports
1578750,Action,Casual,Indie
1674300,Action,Casual,Indie
465750,Strategy,,
1053660,Action,Adventure,Casual
